protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
metaspades_NG-13040_916T3L_lib194728_5429_NODE_35_length_41345_cov_17.2558_44	metaspades_NG-13040_916T3L_lib194728_5429_NODE_35_length_41345_cov_17.2558	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_6045_length_6304_cov_7.92847_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_6045_length_6304_cov_7.92847	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_917T8_lib221218_5627_NODE_2664_length_6319_cov_4.72573_2	metaspades_NG-14069_917T8_lib221218_5627_NODE_2664_length_6319_cov_4.72573	K01662	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	PF13292.6	1-deoxy-D-xylulose-5-phosphate synthase
metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475_3	metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	PF06508.13	Queuosine biosynthesis protein QueC
metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475	K01737	"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"	PF01242.19	6-pyruvoyl tetrahydropterin synthase
metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475_5	metaspades_NG-14069_923T8_lib221224_5627_NODE_9067_length_4272_cov_4.1475	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	PF13394.6	4Fe-4S single cluster domain
metaspades_NG-14069_GD_lib221227_5627_NODE_7576_length_4032_cov_4.56726_6	metaspades_NG-14069_GD_lib221227_5627_NODE_7576_length_4032_cov_4.56726	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_1980_length_23263_cov_11.5999_12	metaspades_NG-14069_919T8_lib221220_5627_NODE_1980_length_23263_cov_11.5999	K01243	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"	PF01048.20	Phosphorylase superfamily
metaspades_NG-14069_919T8_lib221220_5627_NODE_1980_length_23263_cov_11.5999_18	metaspades_NG-14069_919T8_lib221220_5627_NODE_1980_length_23263_cov_11.5999	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	PF07478.13	D-ala D-ala ligase C-terminus
metaspades_NG-14069_925T8_lib221226_5627_NODE_4618_length_7697_cov_3.50837_5	metaspades_NG-14069_925T8_lib221226_5627_NODE_4618_length_7697_cov_3.50837	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"	PF02347.16	Glycine cleavage system P-protein
metaspades_NG-14069_916T8_lib219930_5627_NODE_4805_length_4337_cov_4.97314_3	metaspades_NG-14069_916T8_lib219930_5627_NODE_4805_length_4337_cov_4.97314	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_922T8_lib221223_5627_NODE_11464_length_3232_cov_20.5332_1	metaspades_NG-14069_922T8_lib221223_5627_NODE_11464_length_3232_cov_20.5332	K16153	K16153; glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]	PF00343.20	Carbohydrate phosphorylase
metaspades_NG-13040_921T1L_lib194731_5429_NODE_2_length_171180_cov_201.802_101	metaspades_NG-13040_921T1L_lib194731_5429_NODE_2_length_171180_cov_201.802	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_921T1L_lib194731_5429_NODE_2_length_171180_cov_201.802_211	metaspades_NG-13040_921T1L_lib194731_5429_NODE_2_length_171180_cov_201.802	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_923T8_lib221224_5627_NODE_13585_length_3166_cov_5.30183_4	metaspades_NG-14069_923T8_lib221224_5627_NODE_13585_length_3166_cov_5.30183	K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	PF02826.19	"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
metaspades_NG-15813_GD3_lib254042_5916_NODE_85_length_20179_cov_6.98484_16	metaspades_NG-15813_GD3_lib254042_5916_NODE_85_length_20179_cov_6.98484	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-15813_GD3_lib254042_5916_NODE_85_length_20179_cov_6.98484_17	metaspades_NG-15813_GD3_lib254042_5916_NODE_85_length_20179_cov_6.98484	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_921T1L_lib194731_5429_NODE_461_length_12339_cov_5.34085_13	metaspades_NG-13040_921T1L_lib194731_5429_NODE_461_length_12339_cov_5.34085	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_916T8_lib219930_5627_NODE_6825_length_3325_cov_2.65107_3	metaspades_NG-14069_916T8_lib219930_5627_NODE_6825_length_3325_cov_2.65107	K06881	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	PF01368.20	DHH family
metaspades_NG-14069_GD_lib221227_5627_NODE_2728_length_8937_cov_7.18509_7	metaspades_NG-14069_GD_lib221227_5627_NODE_2728_length_8937_cov_7.18509	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_4140_length_11821_cov_80.8358_11	metaspades_NG-14069_919T8_lib221220_5627_NODE_4140_length_11821_cov_80.8358	K22477	argO; N-acetylglutamate synthase [EC:2.3.1.1]	PF00583.25	Acetyltransferase (GNAT) family
metaspades_NG-14069_919T8_lib221220_5627_NODE_4140_length_11821_cov_80.8358_12	metaspades_NG-14069_919T8_lib221220_5627_NODE_4140_length_11821_cov_80.8358	K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	PF01872.17	RibD C-terminal domain
metaspades_NG-14069_917T8_lib221218_5627_NODE_1400_length_10859_cov_12.6677_16	metaspades_NG-14069_917T8_lib221218_5627_NODE_1400_length_10859_cov_12.6677	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_925T8_lib221226_5627_NODE_10532_length_4199_cov_6.36655_2	metaspades_NG-14069_925T8_lib221226_5627_NODE_10532_length_4199_cov_6.36655	K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]	PF03721.14	"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
metaspades_NG-14069_925T8_lib221226_5627_NODE_10532_length_4199_cov_6.36655_4	metaspades_NG-14069_925T8_lib221226_5627_NODE_10532_length_4199_cov_6.36655	K00973	"E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"	PF00483.23	Nucleotidyl transferase
metaspades_NG-14069_925T8_lib221226_5627_NODE_733_length_35035_cov_38.9529_31	metaspades_NG-14069_925T8_lib221226_5627_NODE_733_length_35035_cov_38.9529	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_923T8_lib221224_5627_NODE_13800_length_3125_cov_4.12345_2	metaspades_NG-14069_923T8_lib221224_5627_NODE_13800_length_3125_cov_4.12345	K10012	"arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"	PF00535.26	Glycosyl transferase family 2
metaspades_NG-13376_921T5_lib202037_5478_NODE_3_length_181980_cov_18.2133_186	metaspades_NG-13376_921T5_lib202037_5478_NODE_3_length_181980_cov_18.2133	K01270	pepD; dipeptidase D [EC:3.4.13.-]		
metaspades_NG-14069_918T8_lib221219_5627_NODE_6611_length_2701_cov_3.11073_3	metaspades_NG-14069_918T8_lib221219_5627_NODE_6611_length_2701_cov_3.11073	K00820	"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	PF13522.6	Glutamine amidotransferase domain
metaspades_NG-14069_919T8_lib221220_5627_NODE_1307_length_33227_cov_35.4401_45	metaspades_NG-14069_919T8_lib221220_5627_NODE_1307_length_33227_cov_35.4401	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	PF02882.19	"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
metaspades_NG-13376_918T8_lib202034_5478_NODE_17_length_23300_cov_7.65248_33	metaspades_NG-13376_918T8_lib202034_5478_NODE_17_length_23300_cov_7.65248	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_921T8_lib221222_5627_NODE_70_length_55644_cov_28.8816_43	metaspades_NG-14069_921T8_lib221222_5627_NODE_70_length_55644_cov_28.8816	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_922T8_lib221223_5627_NODE_12080_length_3110_cov_5.87594_5	metaspades_NG-14069_922T8_lib221223_5627_NODE_12080_length_3110_cov_5.87594	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_916T2L_lib194712_5429_NODE_1106_length_3898_cov_3.01327_4	metaspades_NG-13040_916T2L_lib194712_5429_NODE_1106_length_3898_cov_3.01327	K12960	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	PF01979.20	Amidohydrolase family
metaspades_NG-13040_925T3L_lib194729_5429_NODE_3038_length_4789_cov_3.64892_7	metaspades_NG-13040_925T3L_lib194729_5429_NODE_3038_length_4789_cov_3.64892	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]		
metaspades_NG-14069_918T8_lib221219_5627_NODE_495_length_27922_cov_22.031_7	metaspades_NG-14069_918T8_lib221219_5627_NODE_495_length_27922_cov_22.031	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_916T7L_lib194715_5429_NODE_18_length_46463_cov_7.3129_7	metaspades_NG-13040_916T7L_lib194715_5429_NODE_18_length_46463_cov_7.3129	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-14069_922T8_lib221223_5627_NODE_5047_length_5649_cov_10.1405_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_5047_length_5649_cov_10.1405	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	PF00704.28	Glycosyl hydrolases family 18
metaspades_NG-14069_922T8_lib221223_5627_NODE_8896_length_3869_cov_11.8616_2	metaspades_NG-14069_922T8_lib221223_5627_NODE_8896_length_3869_cov_11.8616	K01610	"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	PF01293.20	Phosphoenolpyruvate carboxykinase
metaspades_NG-13040_923T2L_lib194718_5429_NODE_12_length_96030_cov_77.2125_83	metaspades_NG-13040_923T2L_lib194718_5429_NODE_12_length_96030_cov_77.2125	K03148	thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]	PF00899.21	ThiF family
metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519_35	metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519	K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]		
metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519_104	metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519_108	metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519_128	metaspades_NG-14069_923T8_lib221224_5627_NODE_135_length_81248_cov_25.1519	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"	PF00208.21	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
metaspades_NG-14069_925T8_lib221226_5627_NODE_5803_length_6504_cov_5.67886_12	metaspades_NG-14069_925T8_lib221226_5627_NODE_5803_length_6504_cov_5.67886	K00204	fwdH; 4Fe-4S ferredoxin	PF13187.6	4Fe-4S dicluster domain
metaspades_NG-14069_923T8_lib221224_5627_NODE_1510_length_15063_cov_5.5701_19	metaspades_NG-14069_923T8_lib221224_5627_NODE_1510_length_15063_cov_5.5701	K00656	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"	PF02901.15	Pyruvate formate lyase-like
metaspades_NG-13040_919T2L_lib194749_5429_NODE_82_length_25735_cov_6.24248_7	metaspades_NG-13040_919T2L_lib194749_5429_NODE_82_length_25735_cov_6.24248	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-13040_916T4L_lib194746_5429_NODE_3347_length_4205_cov_2.4347_9	metaspades_NG-13040_916T4L_lib194746_5429_NODE_3347_length_4205_cov_2.4347	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-13040_916T4L_lib194746_5429_NODE_3347_length_4205_cov_2.4347_10	metaspades_NG-13040_916T4L_lib194746_5429_NODE_3347_length_4205_cov_2.4347	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-15813_GD3A_lib254057_5916_NODE_743_length_4631_cov_5.28147_1	metaspades_NG-15813_GD3A_lib254057_5916_NODE_743_length_4631_cov_5.28147	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	PF00106.25	short chain dehydrogenase
metaspades_NG-14069_925T8_lib221226_5627_NODE_684_length_36888_cov_41.3931_13	metaspades_NG-14069_925T8_lib221226_5627_NODE_684_length_36888_cov_41.3931	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_684_length_36888_cov_41.3931_29	metaspades_NG-14069_925T8_lib221226_5627_NODE_684_length_36888_cov_41.3931	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_GD_lib221227_5627_NODE_4757_length_5826_cov_5.01802_2	metaspades_NG-14069_GD_lib221227_5627_NODE_4757_length_5826_cov_5.01802	K13038	"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	PF04127.15	DNA / pantothenate metabolism flavoprotein
metaspades_NG-14069_922T8_lib221223_5627_NODE_7811_length_4234_cov_4.44915_3	metaspades_NG-14069_922T8_lib221223_5627_NODE_7811_length_4234_cov_4.44915	K13522	"K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]"	PF00293.28	NUDIX domain
metaspades_NG-13376_925T12_lib202083_5478_NODE_402_length_6618_cov_3.81274_7	metaspades_NG-13376_925T12_lib202083_5478_NODE_402_length_6618_cov_3.81274	K00952	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]		
metaspades_NG-13376_925T12_lib202083_5478_NODE_402_length_6618_cov_3.81274_10	metaspades_NG-13376_925T12_lib202083_5478_NODE_402_length_6618_cov_3.81274	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"	PF00464.19	Serine hydroxymethyltransferase
metaspades_NG-14069_925T8_lib221226_5627_NODE_3929_length_8686_cov_3.38072_3	metaspades_NG-14069_925T8_lib221226_5627_NODE_3929_length_8686_cov_3.38072	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	PF00275.20	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725_2	metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725	K01710	"E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"	PF16363.5	"GDP-mannose 4,6 dehydratase"
metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725_11	metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725	K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	PF02896.18	"PEP-utilising enzyme, TIM barrel domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725_12	metaspades_NG-14069_919T8_lib221220_5627_NODE_5926_length_8288_cov_6.19725	K02779	"PTS-Glc-EIIC, ptsG; PTS system, glucose-specific IIC component"		
metaspades_NG-15813_GD3A_lib254057_5916_NODE_22_length_95694_cov_27.8086_99	metaspades_NG-15813_GD3A_lib254057_5916_NODE_22_length_95694_cov_27.8086	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]		
metaspades_NG-13376_923M2_lib202064_5478_NODE_78_length_11773_cov_5.447_19	metaspades_NG-13376_923M2_lib202064_5478_NODE_78_length_11773_cov_5.447	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_920T8_lib221221_5627_NODE_417_length_22911_cov_14.6926_6	metaspades_NG-14069_920T8_lib221221_5627_NODE_417_length_22911_cov_14.6926	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_921T8_lib221222_5627_NODE_2729_length_3878_cov_4.84698_1	metaspades_NG-14069_921T8_lib221222_5627_NODE_2729_length_3878_cov_4.84698	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_918T8_lib221219_5627_NODE_3446_length_4275_cov_4.87346_1	metaspades_NG-14069_918T8_lib221219_5627_NODE_3446_length_4275_cov_4.87346	K07258	"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_8449_length_6026_cov_6.02579_2	metaspades_NG-14069_919T8_lib221220_5627_NODE_8449_length_6026_cov_6.02579	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_8449_length_6026_cov_6.02579_6	metaspades_NG-14069_919T8_lib221220_5627_NODE_8449_length_6026_cov_6.02579	K00287	"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"	PF00186.19	Dihydrofolate reductase
metaspades_NG-14069_920T8_lib221221_5627_NODE_3151_length_5431_cov_4.10528_3	metaspades_NG-14069_920T8_lib221221_5627_NODE_3151_length_5431_cov_4.10528	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_916T8_lib219930_5627_NODE_188_length_48219_cov_14.4142_11	metaspades_NG-14069_916T8_lib219930_5627_NODE_188_length_48219_cov_14.4142	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"		
metaspades_NG-14069_916T8_lib219930_5627_NODE_188_length_48219_cov_14.4142_45	metaspades_NG-14069_916T8_lib219930_5627_NODE_188_length_48219_cov_14.4142	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-14069_919T8_lib221220_5627_NODE_4574_length_10672_cov_5.483_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_4574_length_10672_cov_5.483	K19005	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]	PF00884.23	Sulfatase
metaspades_NG-13040_918T1L_lib194748_5429_NODE_10_length_22721_cov_11.9156_25	metaspades_NG-13040_918T1L_lib194748_5429_NODE_10_length_22721_cov_11.9156	K22227	ahbD; heme synthase	PF04055.21	Radical SAM superfamily
metaspades_NG-13040_920T4L_lib194722_5429_NODE_2_length_102312_cov_63.4095_40	metaspades_NG-13040_920T4L_lib194722_5429_NODE_2_length_102312_cov_63.4095	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-13040_920T4L_lib194722_5429_NODE_2_length_102312_cov_63.4095_46	metaspades_NG-13040_920T4L_lib194722_5429_NODE_2_length_102312_cov_63.4095	K01243	"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"	PF01048.20	Phosphorylase superfamily
metaspades_NG-14069_919T8_lib221220_5627_NODE_10753_length_4869_cov_6.8843_1	metaspades_NG-14069_919T8_lib221220_5627_NODE_10753_length_4869_cov_6.8843	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_919T8_lib221220_5627_NODE_10753_length_4869_cov_6.8843_8	metaspades_NG-14069_919T8_lib221220_5627_NODE_10753_length_4869_cov_6.8843	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	PF02773.16	"S-adenosylmethionine synthetase, C-terminal domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_15323_length_3595_cov_2.54802_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_15323_length_3595_cov_2.54802	K01069	"gloB, gloC, HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6]"	PF00753.27	Metallo-beta-lactamase superfamily
metaspades_NG-14069_919T8_lib221220_5627_NODE_4656_length_10439_cov_8.32926_3	metaspades_NG-14069_919T8_lib221220_5627_NODE_4656_length_10439_cov_8.32926	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	PF07991.12	"Acetohydroxy acid isomeroreductase, NADPH-binding domain"
metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791_26	metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791	K01495	"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"	PF01227.22	GTP cyclohydrolase I
metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791_27	metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]		
metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791_46	metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	PF06508.13	Queuosine biosynthesis protein QueC
metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791_62	metaspades_NG-14069_919T8_lib221220_5627_NODE_442_length_73106_cov_19.3791	K01737	"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"	PF01242.19	6-pyruvoyl tetrahydropterin synthase
metaspades_NG-13376_922T11_lib202046_5478_NODE_219_length_2082_cov_2.23286_1	metaspades_NG-13376_922T11_lib202046_5478_NODE_219_length_2082_cov_2.23286	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
metaspades_NG-14069_919T8_lib221220_5627_NODE_3957_length_12368_cov_6.85584_11	metaspades_NG-14069_919T8_lib221220_5627_NODE_3957_length_12368_cov_6.85584	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	C-5 cytosine-specific DNA methylase
metaspades_NG-14069_925T8_lib221226_5627_NODE_8971_length_4728_cov_3.81019_5	metaspades_NG-14069_925T8_lib221226_5627_NODE_8971_length_4728_cov_3.81019	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	PF01507.19	Phosphoadenosine phosphosulfate reductase family
metaspades_NG-13040_916T2L_lib194712_5429_NODE_147_length_15264_cov_4.74101_22	metaspades_NG-13040_916T2L_lib194712_5429_NODE_147_length_15264_cov_4.74101	K01760	metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	PF01053.20	Cys/Met metabolism PLP-dependent enzyme
metaspades_NG-14069_919T8_lib221220_5627_NODE_7589_length_6619_cov_8.7762_5	metaspades_NG-14069_919T8_lib221220_5627_NODE_7589_length_6619_cov_8.7762	K00793	"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"	PF00677.17	Lumazine binding domain
metaspades_NG-14069_919T8_lib221220_5627_NODE_7589_length_6619_cov_8.7762_6	metaspades_NG-14069_919T8_lib221220_5627_NODE_7589_length_6619_cov_8.7762	K14652	"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"	PF00926.19	"3,4-dihydroxy-2-butanone 4-phosphate synthase"
metaspades_NG-13376_925T11_lib202087_5478_NODE_8_length_57258_cov_35.4463_9	metaspades_NG-13376_925T11_lib202087_5478_NODE_8_length_57258_cov_35.4463	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Beta-lactamase superfamily domain
