Virus,AAI to closest RaFAH reference,Host genus,Confidence score,List of methods
VIVO4-INOCULUM-1-2-k141_39496,85.15,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,95.90,blast;97.10 iPHoP-RF;93.70 CRISPR;68.10
VIVO4-INOCULUM-1-2-k141_39496,85.15,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas,92.60,blast;94.70 iPHoP-RF;91.80
VIVO4-INOCULUM-1-2-k141_39545,99.84,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.20 iPHoP-RF;96.70 blast;90.70
VIVO4-INOCULUM-1-2-k141_39545,99.84,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,91.40,blast;93.70 iPHoP-RF;83.90
VIVO4-INOCULUM-1-2-k141_39596,75.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.20 iPHoP-RF;97.10 CRISPR;95.20 blast;91.80
VIVO4-INOCULUM-1-2-k141_39596,75.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,90.20,CRISPR;92.70 blast;92.30 iPHoP-RF;91.80
VIVO4-INOCULUM-1-2-k141_39799,99.12,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes,93.00,blast;95.00 iPHoP-RF;84.80
VIVO4-INOCULUM-1-2-k141_40214,99.92,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,97.30,blast;92.10 RaFAH;88.10 iPHoP-RF;73.90 CRISPR;68.40
VIVO4-INOCULUM-1-2-k141_40214,99.92,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,90.70,blast;93.10 iPHoP-RF;86.00
VIVO4-INOCULUM-1-2-k141_40640,99.70,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,98.10,RaFAH;89.20 blast;89.20 iPHoP-RF;70.40
VIVO4-INOCULUM-1-2-k141_40640,99.70,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,91.60,blast;93.90 CRISPR;71.50
VIVO4-INOCULUM-1-2-k141_42166,10.97,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.60,blast;93.90 iPHoP-RF;81.10
VIVO4-INOCULUM-1-2-k141_43798,39.67,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,93.60,blast;95.50 iPHoP-RF;75.20
VIVO4-INOCULUM-1-2-k141_43939,10.57,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,91.70,blast;94.00 iPHoP-RF;87.30
VIVO4-INOCULUM-1-2-k141_43991,99.87,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.20,blast;90.90 RaFAH;89.20
VIVO4-INOCULUM-1-2-k141_44427,24.94,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,93.20,blast;95.20 iPHoP-RF;83.30
VIVO4-INOCULUM-1-2-k141_4525,47.09,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,91.40,blast;93.70 iPHoP-RF;73.50 CRISPR;53.30
VIVO4-INOCULUM-1-2-k141_45379,2.99,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,92.50,blast;94.60 iPHoP-RF;82.50
VIVO4-INOCULUM-1-2-k141_4691,4.69,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,93.40,blast;95.30 iPHoP-RF;91.10
VIVO4-INOCULUM-1-2-k141_48863,98.23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,93.10,iPHoP-RF;95.10 blast;92.60
VIVO4-INOCULUM-1-2-k141_50324,8.40,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,94.90,blast;96.40 CRISPR;91.00 iPHoP-RF;88.90
VIVO4-INOCULUM-1-2-k141_50943,97.72,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,98.80,RaFAH;92.30 blast;91.80 iPHoP-RF;63.00
VIVO4-INOCULUM-1-2-k141_51801,13.41,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,96.00,blast;97.20 iPHoP-RF;84.50 CRISPR;58.30
VIVO4-INOCULUM-1-2-k141_51818,84.62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.90,blast;93.30
VIVO4-INOCULUM-1-2-k141_51887,99.95,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,90.60,blast;93.00
VIVO4-INOCULUM-1-2-k141_52763,7.02,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum,97.60,blast;98.30 CRISPR;89.10 iPHoP-RF;85.10
VIVO4-INOCULUM-1-2-k141_5463,66.59,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,91.00,blast;93.40 iPHoP-RF;84.80
VIVO4-INOCULUM-1-2-k141_54773,96.52,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,95.70,CRISPR;97.00 blast;96.90 iPHoP-RF;93.70
VIVO4-INOCULUM-1-2-k141_54895,99.84,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,95.40,RaFAH;96.80
VIVO4-INOCULUM-1-2-k141_54895,99.84,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,95.00,blast;96.50 iPHoP-RF;93.40
VIVO4-INOCULUM-1-2-k141_56551,20.23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071,92.00,blast;94.20 iPHoP-RF;82.80
VIVO4-INOCULUM-1-2-k141_58074,54.79,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella,98.50,blast;96.90 RaFAH;81.80
VIVO4-INOCULUM-1-2-k141_58491,8.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,91.60,blast;93.90 iPHoP-RF;65.80
VIVO4-INOCULUM-1-2-k141_59416,17.36,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor,91.00,blast;93.40 iPHoP-RF;56.00
VIVO4-INOCULUM-1-2-k141_59468,94.57,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,97.20,CRISPR;98.00
VIVO4-INOCULUM-1-2-k141_59468,94.57,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.70,CRISPR;96.30
VIVO4-INOCULUM-1-2-k141_60849,7.78,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.00,iPHoP-RF;93.40 blast;86.70
VIVO4-INOCULUM-1-2-k141_61936,7.60,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,93.00,blast;95.00 iPHoP-RF;64.00
VIVO4-INOCULUM-1-2-k141_62597,9.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium,94.90,blast;96.40 iPHoP-RF;59.20
VIVO4-INOCULUM-1-2-k141_63377,8.78,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.50,blast;93.80 iPHoP-RF;92.10 CRISPR;64.80
VIVO4-INOCULUM-1-2-k141_63377,8.78,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370,91.00,iPHoP-RF;93.40
VIVO4-INOCULUM-1-2-k141_64181,99.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.20 iPHoP-RF;94.70 blast;90.60
VIVO4-INOCULUM-1-2-k141_64228,89.18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,98.50,CRISPR;98.90 blast;96.80 iPHoP-RF;93.10
VIVO4-INOCULUM-1-2-k141_64249,98.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,92.10,RaFAH;94.30
VIVO4-INOCULUM-1-2-k141_64249,98.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,92.10,RaFAH;94.30
VIVO4-INOCULUM-1-2-k141_64249,98.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,91.60,blast;93.90
VIVO4-INOCULUM-1-2-k141_6425,14.32,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,91.70,blast;94.00 iPHoP-RF;87.30
VIVO4-INOCULUM-1-2-k141_64815,14.19,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,93.80,blast;95.60 iPHoP-RF;77.50
VIVO4-INOCULUM-1-2-k141_65286,10.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas,90.40,blast;92.90 iPHoP-RF;80.30
VIVO4-INOCULUM-1-2-k141_65774,99.97,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,99.70,blast;96.90 RaFAH;95.60 iPHoP-RF;91.10 CRISPR;61.00
VIVO4-INOCULUM-1-2-k141_65774,99.97,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,93.80,RaFAH;95.60
VIVO4-INOCULUM-1-2-k141_66433,12.12,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,93.10,blast;95.10 iPHoP-RF;83.90
VIVO4-INOCULUM-1-2-k141_66878,31.26,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,91.60,blast;93.90 iPHoP-RF;55.40
VIVO4-INOCULUM-1-2-k141_67446,7.40,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,94.90,blast;96.40
VIVO4-INOCULUM-1-2-k141_69270,8.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,97.00,blast;97.90 iPHoP-RF;90.50 CRISPR;68.70
VIVO4-INOCULUM-1-2-k141_69284,37.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,96.60,blast;97.60 iPHoP-RF;75.90
VIVO4-INOCULUM-1-2-k141_69901,87.63,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,93.90,blast;95.70 iPHoP-RF;95.10
VIVO4-INOCULUM-1-2-k141_69901,87.63,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,90.60,blast;93.00
VIVO4-INOCULUM-1-2-k141_71504,8.05,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,94.90,blast;96.40 iPHoP-RF;60.10
VIVO4-INOCULUM-1-2-k141_71830,40.57,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,97.60,blast;96.40 RaFAH;76.30 iPHoP-RF;68.40
VIVO4-INOCULUM-1-2-k141_72430,17.31,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,95.20,blast;96.60 iPHoP-RF;96.10 CRISPR;78.50
VIVO4-INOCULUM-1-2-k141_73754,23.39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,92.00,blast;94.20 iPHoP-RF;82.80 CRISPR;82.20
VIVO4-INOCULUM-1-2-k141_75533,66.45,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,92.20,blast;94.40 iPHoP-RF;73.70
VIVO4-INOCULUM-1-2-k141_75533,66.45,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor,90.00,blast;92.50 iPHoP-RF;75.90
VIVO4-INOCULUM-1-2-k141_75600,23.91,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,96.90,CRISPR;97.80 blast;96.60 iPHoP-RF;93.40
VIVO4-INOCULUM-1-2-k141_7615,12.80,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.00,blast;95.00 iPHoP-RF;61.70
VIVO4-INOCULUM-1-2-k141_77206,4.17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,90.70,blast;93.10
VIVO4-INOCULUM-1-2-k141_7735,67.72,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,95.30,iPHoP-RF;96.70 blast;96.50 CRISPR;93.80
VIVO4-INOCULUM-1-2-k141_77999,8.71,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,91.60,blast;93.90 iPHoP-RF;82.50
VIVO4-INOCULUM-1-2-k141_79049,45.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,95.30,iPHoP-RF;94.40 blast;91.90 RaFAH;70.70
VIVO4-INOCULUM-1-2-k141_79049,45.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,92.20,iPHoP-RF;94.40 blast;93.60
VIVO4-INOCULUM-1-2-k141_79537,4.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,90.60,blast;93.00 iPHoP-RF;76.80
VIVO4-INOCULUM-1-2-k141_81010,99.61,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.40,blast;96.30 RaFAH;92.80 iPHoP-RF;75.00
VIVO4-INOCULUM-1-2-k141_81083,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,100.00,RaFAH;98.80 blast;98.80 iPHoP-RF;93.10
VIVO4-INOCULUM-1-2-k141_81083,100.00,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,98.40,RaFAH;98.80
VIVO4-INOCULUM-1-2-k141_825,99.80,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,97.20,CRISPR;97.00 blast;96.60 iPHoP-RF;94.70 RaFAH;66.00
VIVO4-INOCULUM-1-2-k141_82518,17.18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,94.50,CRISPR;96.10 blast;95.20 iPHoP-RF;92.40
VIVO4-INOCULUM-1-2-k141_82750,70.61,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,95.20,blast;96.60 iPHoP-RF;76.40
VIVO4-INOCULUM-1-2-k141_82750,70.61,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,94.30,blast;96.00 iPHoP-RF;78.50
VIVO4-INOCULUM-1-2-k141_82860,77.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,95.70,blast;97.00 iPHoP-RF;95.70 CRISPR;55.70
VIVO4-INOCULUM-1-2-k141_82860,77.39,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor,90.30,iPHoP-RF;92.80
VIVO4-INOCULUM-1-2-k141_82888,28.33,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.00,blast;93.40 iPHoP-RF;91.40
VIVO4-INOCULUM-1-2-k141_83252,10.42,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,95.70,RaFAH;97.00
VIVO4-INOCULUM-1-2-k141_83252,10.42,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,95.70,RaFAH;97.00
VIVO4-INOCULUM-1-2-k141_83252,10.42,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium,94.50,iPHoP-RF;96.10
VIVO4-INOCULUM-1-2-k141_84652,17.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,97.80,blast;98.40 iPHoP-RF;86.00
VIVO4-INOCULUM-1-2-k141_85670,22.16,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,95.40,blast;96.80 iPHoP-RF;82.50 CRISPR;65.60
VIVO4-INOCULUM-1-2-k141_86215,99.64,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,99.70,blast;96.60 RaFAH;96.30 iPHoP-RF;75.70
VIVO4-INOCULUM-1-2-k141_86215,99.64,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,94.70,RaFAH;96.30
VIVO4-INOCULUM-1-2-k141_87279,99.98,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,100.00,RaFAH;99.50 CRISPR;97.50 iPHoP-RF;97.10 blast;93.50
VIVO4-INOCULUM-1-2-k141_87279,99.98,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,97.00,CRISPR;97.90 iPHoP-RF;95.40 blast;92.00
VIVO4-INOCULUM-1-2-k141_87737,7.95,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,94.60,blast;96.20 iPHoP-RF;78.30
VIVO4-INOCULUM-1-2-k141_87894,2.46,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,91.00,blast;93.40
VIVO4-INOCULUM-1-2-k141_89074,52.06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,91.20,blast;93.60 iPHoP-RF;68.20
VIVO4-INOCULUM-1-2-k141_90611,63.89,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502,93.90,blast;95.70 iPHoP-RF;81.90
VIVO4-INOCULUM-1-2-k141_92632,16.78,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,94.70,blast;96.30 iPHoP-RF;87.60
VIVO4-INOCULUM-1-2-k141_928,11.52,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A,90.10,blast;92.60 iPHoP-RF;58.40
VIVO4-INOCULUM-1-2-k141_93111,99.96,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricomes,90.30,blast;92.80 iPHoP-RF;64.30
VIVO4-INOCULUM-1-2-k141_94570,3.98,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,95.00,blast;96.50 iPHoP-RF;80.00
VIVO4-INOCULUM-1-2-k141_94570,3.98,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,94.00,RaFAH;94.50 blast;62.20
VIVO4-INOCULUM-1-2-k141_96599,81.86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,94.60,blast;96.20 iPHoP-RF;91.10 CRISPR;70.90
VIVO4-INOCULUM-1-2-k141_96839,61.87,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,91.40,blast;93.70 iPHoP-RF;63.00
VIVO4-INOCULUM-1-2-k141_97414,6.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides,92.20,iPHoP-RF;94.40
VIVO4-INOCULUM-1-2-k141_97414,6.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter,92.20,iPHoP-RF;94.40 blast;91.70
VIVO4-INOCULUM-1-2-k141_97414,6.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia,92.20,iPHoP-RF;94.40
VIVO4-INOCULUM-1-2-k141_97414,6.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter,91.80,iPHoP-RF;94.10
VIVO4-INOCULUM-1-2-k141_97414,6.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495,90.70,iPHoP-RF;93.10
VIVO4-INOCULUM-1-2-k141_9863,35.14,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora,93.50,iPHoP-RF;95.40
VIVO4-INOCULUM-1-2-k141_98801,8.92,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,90.80,blast;93.20 iPHoP-RF;68.00
VIVO4-INOCULUM-1-2-k141_99983,24.80,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,99.30,RaFAH;95.30 iPHoP-RF;84.50 blast;80.30
VIVO4-INOCULUM-1-2-k141_99983,24.80,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,95.00,blast;96.50 CRISPR;95.60 iPHoP-RF;92.10
VIVO4-INOCULUM-2-2-k141_100446,15.79,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,97.20,blast;95.60 RaFAH;77.30 iPHoP-RF;72.20
VIVO4-INOCULUM-2-2-k141_100950,17.09,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,92.60,blast;94.70 iPHoP-RF;50.40
VIVO4-INOCULUM-2-2-k141_101469,5.18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,93.60,blast;95.50 iPHoP-RF;75.90
VIVO4-INOCULUM-2-2-k141_103438,13.65,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,97.30,CRISPR;98.10 blast;95.20 iPHoP-RF;77.10
VIVO4-INOCULUM-2-2-k141_103497,11.74,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,95.70,blast;97.00 iPHoP-RF;59.50
VIVO4-INOCULUM-2-2-k141_103550,6.15,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,95.20,blast;96.60 iPHoP-RF;77.50
VIVO4-INOCULUM-2-2-k141_106698,15.99,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191,90.00,blast;92.50 iPHoP-RF;81.60
VIVO4-INOCULUM-2-2-k141_107183,14.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,93.90,CRISPR;95.70 blast;91.20 iPHoP-RF;84.20
VIVO4-INOCULUM-2-2-k141_109691,96.02,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B,93.10,blast;95.10 iPHoP-RF;92.40 CRISPR;86.80
VIVO4-INOCULUM-2-2-k141_110557,10.75,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q,94.50,blast;96.10 iPHoP-RF;81.10
VIVO4-INOCULUM-2-2-k141_111625,99.56,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,92.00,blast;93.70 iPHoP-RF;90.10 CRISPR;57.90 RaFAH;53.60
VIVO4-INOCULUM-2-2-k141_116884,3.59,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A,91.40,blast;93.70
VIVO4-INOCULUM-2-2-k141_117970,19.93,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691,95.30,blast;96.70 iPHoP-RF;85.40
